index,logits
0,"[0.9969526529312134, 2.700530330912443e-06, 0.18413645029067993, 0.0002062082348857075]"
1,"[0.0009810194605961442, 0.005892562679946423, 0.9992843270301819, 0.0003657373017631471]"
2,"[0.25835928320884705, 0.0003098524466622621, 0.9929545521736145, 0.0001642695424379781]"
3,"[0.0008608362404629588, 0.005009316839277744, 0.9979165196418762, 0.0008881061221472919]"
4,"[0.000683570106048137, 0.9997747540473938, 0.002512706210836768, 0.00023902709654066712]"
5,"[0.00018460318096913397, 0.0008461112738586962, 0.999976396560669, 8.750792767386883e-05]"
6,"[0.9997456669807434, 0.004044222645461559, 0.00012889165373053402, 0.00026655688998289406]"
7,"[7.912649743957445e-05, 0.00018097285646945238, 0.9999750852584839, 0.00012072214303771034]"
8,"[0.0012043466558679938, 0.0013886872911825776, 0.9996100068092346, 0.0014822883531451225]"
9,"[0.03007669933140278, 0.0006205739919096231, 0.9993334412574768, 0.0001058916313922964]"
10,"[0.9996522665023804, 4.0713603084441274e-05, 0.041543759405612946, 0.0004038168990518898]"
11,"[0.0017314957221969962, 0.005805652122944593, 0.998187243938446, 0.0008719370816834271]"
12,"[0.0003252608876209706, 0.006730230059474707, 0.9985166192054749, 0.00018436956452205777]"
13,"[0.0006918654544278979, 0.0011122232535853982, 0.9996916055679321, 3.24362117680721e-05]"
14,"[0.0023674063850194216, 0.0007497949991375208, 3.0576728022424504e-05, 0.9999741315841675]"
15,"[0.9999589920043945, 1.787591645552311e-05, 2.918142854468897e-05, 0.0824720710515976]"
16,"[0.004011034034192562, 0.0003363494179211557, 0.0003265571722295135, 0.999963641166687]"
17,"[0.004507594276219606, 0.9989043474197388, 5.101596980239265e-05, 0.0007119033252820373]"
18,"[0.0008920390973798931, 0.0013697956455871463, 0.0004984094994142652, 0.9998763799667358]"
19,"[0.0001847243111114949, 0.00014461271348409355, 3.7489578971872106e-05, 0.9999984502792358]"
20,"[0.0004942947416566312, 0.00048435686039738357, 9.408665937371552e-05, 0.9999890327453613]"
21,"[0.001249138847924769, 0.001624629832804203, 0.00037864455953240395, 0.999941349029541]"
22,"[7.393954001599923e-05, 4.4450767745729536e-05, 0.999908447265625, 0.005808341782540083]"
23,"[0.00039798577199690044, 0.008931266143918037, 0.9995821118354797, 0.000512691680341959]"
24,"[0.0018979947781190276, 0.0004249826306477189, 6.281182868406177e-05, 0.999969482421875]"
25,"[0.0016445339424535632, 0.0008463006815873086, 0.0005036875954829156, 0.9998692274093628]"
26,"[0.00046905025374144316, 0.00029482104582712054, 8.127823093673214e-05, 0.9999939203262329]"
27,"[0.0013717302354052663, 0.0008425543201155961, 0.0002670063404366374, 0.9998981952667236]"
28,"[0.00022675520449411124, 6.489850056823343e-05, 0.00022868344967719167, 0.9999990463256836]"
29,"[0.00034495891304686666, 0.00010091107833432034, 3.6986282793805e-05, 0.9999957084655762]"
30,"[0.00010986597771989182, 0.0002355974429519847, 6.254425898077898e-06, 0.9999988079071045]"
31,"[0.0016384691698476672, 0.0008143488666974008, 0.0001492379669798538, 0.9998304843902588]"
32,"[0.00031951445271261036, 0.00010383490734966472, 0.00037493661511689425, 0.9999597072601318]"
33,"[0.004179774317890406, 1.831532790674828e-05, 3.920657036360353e-06, 0.9999992847442627]"
34,"[0.02154773660004139, 0.0508633628487587, 1.1978887641816982e-06, 0.9966351389884949]"
35,"[0.010670089162886143, 0.6294501423835754, 2.890583573389449e-06, 0.15899252891540527]"
36,"[0.9998189806938171, 4.345640627434477e-05, 2.9822527380929387e-07, 0.33093589544296265]"
37,"[0.0016655322397127748, 0.001414516125805676, 2.221400245616678e-05, 0.9999620914459229]"
38,"[0.0005731778219342232, 9.635145397624001e-05, 7.340413139900193e-05, 0.9999960660934448]"
39,"[0.9997952580451965, 0.0003461476298980415, 9.463209607929457e-06, 0.0011049333261325955]"
40,"[0.99403315782547, 0.0001763216423569247, 0.00013131185551173985, 0.3702027201652527]"
41,"[0.7825372219085693, 5.8939440350513905e-06, 2.2068600458169385e-07, 0.9998511075973511]"
42,"[0.999993085861206, 3.023451608896721e-05, 0.00020520912948995829, 0.00290011172182858]"
43,"[0.9993584752082825, 9.310952009400353e-05, 0.00012087406503269449, 0.16102544963359833]"
44,"[0.8549478650093079, 0.0002031110634561628, 4.816318687517196e-05, 0.995398223400116]"
45,"[0.00050245167221874, 0.00017361380741931498, 1.7572701835888438e-05, 0.9999955892562866]"
46,"[0.0004929020651616156, 0.0003302801924291998, 0.00010950848081847653, 0.9999854564666748]"
47,"[0.9996339082717896, 2.5853669285424985e-05, 0.005856184288859367, 0.0027592291589826345]"
48,"[0.9998821020126343, 0.00024618636234663427, 0.0009872198570519686, 0.0023223040625452995]"
49,"[0.999887228012085, 6.666443368885666e-05, 0.0007403831696137786, 0.0009280187077820301]"
50,"[0.0024174742866307497, 0.1729254275560379, 0.00015275653277058154, 0.9197012782096863]"
51,"[0.0002777580521069467, 9.963411866920069e-05, 5.382407834986225e-05, 0.9999979734420776]"
52,"[0.0002980968274641782, 0.00016089476412162185, 5.129628334543668e-05, 0.9999942779541016]"
53,"[0.004262747708708048, 7.025896047707647e-05, 4.568666099658003e-06, 0.9999982118606567]"
54,"[0.9999974966049194, 4.398184046294773e-06, 1.6614905689493753e-05, 0.0016213144408538938]"
55,"[3.412987553019775e-06, 0.998430073261261, 0.8930636644363403, 5.280180062072759e-07]"
56,"[0.00012494338443502784, 0.9999301433563232, 0.00021782793919555843, 0.0004011202836409211]"
57,"[0.0006333882920444012, 0.8816993832588196, 0.0003084877389483154, 0.37181517481803894]"
58,"[0.00015002855798229575, 0.9999698400497437, 0.00012310370220802724, 0.00021505335462279618]"
59,"[0.015955857932567596, 0.004068465903401375, 0.9985033273696899, 0.0001669898338150233]"
60,"[0.00012863246956840158, 0.9997822642326355, 0.0002743840159382671, 0.0001424656657036394]"
61,"[0.10159951448440552, 0.0012847265461459756, 0.9983091354370117, 0.0003585261874832213]"
62,"[0.9999986886978149, 8.299899491248652e-06, 1.554063601361122e-05, 0.00046800030395388603]"
63,"[0.00041040132055059075, 0.9995601773262024, 0.0009389167535118759, 0.00018481045844964683]"
64,"[0.9948294758796692, 0.00033663332578726113, 0.8054508566856384, 1.0891209967667237e-05]"
65,"[0.8860854506492615, 0.0003971759870182723, 0.8479033708572388, 4.267159238224849e-05]"
66,"[0.0010663514258340001, 0.9999775886535645, 0.00012993377458769828, 2.9879636713303626e-05]"
67,"[0.9999974966049194, 0.00011144301242893562, 9.777671948540956e-06, 0.00015336002979893237]"
68,"[0.0012419139966368675, 0.01067280862480402, 0.9981558918952942, 0.0010317591950297356]"
69,"[0.0005486230365931988, 0.0005366113036870956, 0.9999210834503174, 7.522108353441581e-05]"
70,"[0.9999967813491821, 0.0004533200990408659, 8.452739712083712e-05, 4.134726623306051e-05]"
71,"[0.004524815361946821, 0.9998365640640259, 0.0003132330602966249, 0.00019725423771888018]"
72,"[0.9990094900131226, 0.42755162715911865, 0.004938383586704731, 2.243803919554921e-06]"
73,"[7.080024806782603e-05, 8.293540304293856e-05, 0.9999920129776001, 2.2962865841691382e-05]"
74,"[0.9998225569725037, 0.0004617121594492346, 0.001503889448940754, 0.0004652269999496639]"
