index,logits
34,"[0.999683141708374, 0.011482443660497665, 0.0004770660598296672, 0.0008376895566470921]"
258,"[0.0034152562730014324, 0.0027710499707609415, 0.002073426730930805, 0.9992228746414185]"
451,"[0.0014243441401049495, 0.9993721842765808, 0.0019238758832216263, 0.0005765142268501222]"
244,"[0.009746430441737175, 0.002604687586426735, 0.0010893828002735972, 0.9994602799415588]"
385,"[0.005078485235571861, 0.00286738108843565, 0.001382286543957889, 0.9993040561676025]"
305,"[0.002305681351572275, 0.0020270294044166803, 0.004516193643212318, 0.9988564252853394]"
40,"[0.9985760450363159, 0.0005119818961247802, 0.0006098048761487007, 0.622610330581665]"
193,"[0.010520707815885544, 0.002241904614493251, 0.0010393981356173754, 0.9994539618492126]"
377,"[0.00521107017993927, 0.001279885065741837, 0.9996422529220581, 0.0017701504984870553]"
190,"[0.9994657635688782, 0.002234560204669833, 0.0006953148986212909, 0.0015244139358401299]"
46,"[0.0037038305308669806, 0.0024398318491876125, 0.0021390465553849936, 0.9991925358772278]"
108,"[0.9794414043426514, 0.7466521859169006, 0.00022165317204780877, 0.006355844903737307]"
86,"[0.9994087219238281, 0.001176843885332346, 0.001034141518175602, 0.0020146432798355818]"
252,"[0.004156885202974081, 0.0022185377310961485, 0.0019845720380544662, 0.9991414546966553]"
21,"[0.0010380740277469158, 0.04385722428560257, 0.0010312151862308383, 0.9992579817771912]"
302,"[0.0011878585210070014, 0.9993244409561157, 0.0020605979952961206, 0.0006239738431759179]"
55,"[0.9998134970664978, 0.21305178105831146, 0.0003180180210620165, 0.0006432137452065945]"
407,"[0.005621830001473427, 0.0008767779218032956, 0.9995494484901428, 0.0023461447563022375]"
542,"[0.9994605183601379, 0.001038168091326952, 0.0014412908349186182, 0.0019382124301046133]"
343,"[0.9993932247161865, 0.0011473256163299084, 0.0009355328511446714, 0.002223480027168989]"
298,"[0.00102319591678679, 0.999359667301178, 0.0024516095872968435, 0.000716647133231163]"
400,"[0.01978522725403309, 0.0017169717466458678, 0.0009159218170680106, 0.9994858503341675]"
408,"[0.006068714428693056, 0.0027920338325202465, 0.0012364231515675783, 0.9993292093276978]"
30,"[0.002870142925530672, 0.0034389521460980177, 0.001987242605537176, 0.9992191791534424]"
246,"[0.002894764766097069, 0.0033668747637420893, 0.002130296314135194, 0.9992521405220032]"
174,"[0.010768340900540352, 0.001306285266764462, 0.9997484087944031, 0.0011761764762923121]"
324,"[0.9994139671325684, 0.0012370810145512223, 0.0009476745035499334, 0.0020581167191267014]"
586,"[0.9961438179016113, 0.9554215669631958, 0.014209387823939323, 5.6349213991779834e-05]"
84,"[0.0012267943238839507, 0.9993035793304443, 0.0018385278526693583, 0.0006425936007872224]"
168,"[0.9995496869087219, 0.001357601024210453, 0.0008091419585980475, 0.0029366055969148874]"
605,"[0.006932142190635204, 0.0010688167531043291, 0.9996398687362671, 0.0016883164644241333]"
251,"[0.003433364210650325, 0.0025361073203384876, 0.0021706849802285433, 0.9991635084152222]"
